_time,index,host.name,event.code,UserAccount,SourceIP
2022-02-19T17:32:34.125+0000,wineventlogs,dc02.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:32:34.125+0000,wineventlogs,dc02.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:32:34.125+0000,wineventlogs,dc02.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:32:34.412+0000,wineventlogs,dc.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:33:33.990+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:33:33.991+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:33:33.991+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:33:33.991+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T17:36:38.174+0000,wineventlogs,wkst14.magnumtempus.financial,4624,lex.perrin,172.16.21.100
2022-02-19T17:36:44.253+0000,wineventlogs,wkst14.magnumtempus.financial,4624,lex.perrin,172.16.21.100
2022-02-19T17:36:45.246+0000,wineventlogs,dc.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.247+0000,wineventlogs,dc.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.247+0000,wineventlogs,dc.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.247+0000,wineventlogs,dc.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.247+0000,wineventlogs,dc.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.290+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.290+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.290+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.290+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T17:36:45.485+0000,wineventlogs,dc02.magnumtempus.financial,4624,lex.perrin,172.16.50.143
