"_raw","_time","community_id","conn_state",duration,eventtype,history,host,"id.orig_h","id.orig_p","id.resp_h","id.resp_p",index,linecount,"local_orig","local_resp","missed_bytes",name,notice,"orig_bytes","orig_ip_bytes","orig_pkts",peer,proto,punct,"resp_bytes","resp_ip_bytes","resp_pkts",service,source,sourcetype,"splunk_server","splunk_server_group",timestamp,ts,"tunnel_parents{}",uid
"{""ts"":1645311459.405636,""uid"":""CoYCQQ1loCS8MTJw97"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63847,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":2.48781681060791,""orig_bytes"":84049817,""resp_bytes"":12190,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":45809309,""history"":""ShADadGGGGFfR"",""orig_pkts"":28167,""orig_ip_bytes"":39367200,""resp_pkts"":3570,""resp_ip_bytes"":155002,""tunnel_parents"":[""CkqUbg4IMseD1Bmox1""],""community_id"":""1:4wiXuxU5gCP0rvGpZjSMD+AwEvw=""}","2022-02-19T23:00:01.000+0000","1:4wiXuxU5gCP0rvGpZjSMD+AwEvw=",SF,"2.48781681060791",,ShADadGGGGFfR,sensor,"172.16.50.101",63847,"52.219.143.50",443,zeek,1,true,false,45809309,,,84049817,39367200,28167,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",12190,155002,3570,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311459.405636",CkqUbg4IMseD1Bmox1,CoYCQQ1loCS8MTJw97
"{""ts"":1645311460.849035,""uid"":""COZjAq4V06tb6QDeb5"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63859,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""duration"":0.9417319297790527,""orig_bytes"":36771914,""resp_bytes"":8351,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":24289089,""history"":""ShAdGgDaGGGFfR"",""orig_pkts"":9160,""orig_ip_bytes"":12851047,""resp_pkts"":1292,""resp_ip_bytes"":58233,""tunnel_parents"":[""C3SlwE2gbI2kkiW5r7""],""community_id"":""1:pJ8XaL40o0qmLxfuZ+4i1M5Cj1E=""}","2022-02-19T23:00:01.000+0000","1:pJ8XaL40o0qmLxfuZ+4i1M5Cj1E=",SF,"0.9417319297790527",,ShAdGgDaGGGFfR,sensor,"172.16.50.101",63859,"52.219.143.50",443,zeek,1,true,false,24289089,,,36771914,12851047,9160,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",8351,58233,1292,,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311460.849035",C3SlwE2gbI2kkiW5r7,COZjAq4V06tb6QDeb5
"{""ts"":1645311460.47952,""uid"":""CmyxCx3bO9Kij0EV7i"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63857,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""duration"":0.1936328411102295,""orig_bytes"":5253716,""resp_bytes"":6287,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":2328974,""history"":""ShAaGdDGGFfR"",""orig_pkts"":2161,""orig_ip_bytes"":3011194,""resp_pkts"":602,""resp_ip_bytes"":30379,""tunnel_parents"":[""CFUWb93n810SaFsYfh""],""community_id"":""1:r5JKNaW6bVXnUtMVxlARlBCfJv4=""}","2022-02-19T23:00:01.000+0000","1:r5JKNaW6bVXnUtMVxlARlBCfJv4=",SF,"0.1936328411102295",,ShAaGdDGGFfR,sensor,"172.16.50.101",63857,"52.219.143.50",443,zeek,1,true,false,2328974,,,5253716,3011194,2161,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",6287,30379,602,,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311460.47952",CFUWb93n810SaFsYfh,CmyxCx3bO9Kij0EV7i
"{""ts"":1645311460.417847,""uid"":""CBzjzP3lo90Lr5moEa"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63856,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":0.24427318572998048,""orig_bytes"":10506749,""resp_bytes"":6631,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":5207546,""history"":""ShADadGGGFfR"",""orig_pkts"":3892,""orig_ip_bytes"":5454895,""resp_pkts"":991,""resp_ip_bytes"":46283,""tunnel_parents"":[""CCelgY36n01mK8Axwh""],""community_id"":""1:4sH1633Kvnn5Pbt4j3+j9u6o/+k=""}","2022-02-19T23:00:01.000+0000","1:4sH1633Kvnn5Pbt4j3+j9u6o/+k=",SF,"0.24427318572998048",,ShADadGGGFfR,sensor,"172.16.50.101",63856,"52.219.143.50",443,zeek,1,true,false,5207546,,,10506749,5454895,3892,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",6631,46283,991,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311460.417847",CCelgY36n01mK8Axwh,CBzjzP3lo90Lr5moEa
"{""ts"":1645311460.130798,""uid"":""CsnZ3o4KEqR1i4HZm8"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63853,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":0.36790990829467776,""orig_bytes"":10506749,""resp_bytes"":6631,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":6276881,""history"":""ShADadGGGFfR"",""orig_pkts"":3116,""orig_ip_bytes"":4354520,""resp_pkts"":745,""resp_ip_bytes"":36443,""tunnel_parents"":[""CARXtv2yk6NDxTkyGl""],""community_id"":""1:POF/7x4uiEMugvWX1JF4l9QNuMs=""}","2022-02-19T23:00:01.000+0000","1:POF/7x4uiEMugvWX1JF4l9QNuMs=",SF,"0.36790990829467776",,ShADadGGGFfR,sensor,"172.16.50.101",63853,"52.219.143.50",443,zeek,1,true,false,6276881,,,10506749,4354520,3116,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",6631,36443,745,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311460.130798",CARXtv2yk6NDxTkyGl,CsnZ3o4KEqR1i4HZm8
"{""ts"":1645311459.8181,""uid"":""C1yNmX9MPwJnncqb3"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63852,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":0.3649790287017822,""orig_bytes"":10506749,""resp_bytes"":6631,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":6689440,""history"":""ShADadGGGgFfR"",""orig_pkts"":2803,""orig_ip_bytes"":3930021,""resp_pkts"":624,""resp_ip_bytes"":31023,""tunnel_parents"":[""CJ47aZ3qArV6QjhU0k""],""community_id"":""1:X1I9O9Kq2AbyknjA2YTWspcTASU=""}","2022-02-19T23:00:01.000+0000","1:X1I9O9Kq2AbyknjA2YTWspcTASU=",SF,"0.3649790287017822",,ShADadGGGgFfR,sensor,"172.16.50.101",63852,"52.219.143.50",443,zeek,1,true,false,6689440,,,10506749,3930021,2803,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",6631,31023,624,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311459.8181",CJ47aZ3qArV6QjhU0k,C1yNmX9MPwJnncqb3
"{""ts"":1645311459.533387,""uid"":""CuY8J11lBPPTNbnZF9"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63848,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":0.6314480304718018,""orig_bytes"":26265846,""resp_bytes"":7663,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":13643266,""history"":""ShADadGGGGFfR"",""orig_pkts"":9299,""orig_ip_bytes"":12994552,""resp_pkts"":2215,""resp_ip_bytes"":96275,""tunnel_parents"":[""Carw9u2ydI8uHe7Csj""],""community_id"":""1:XzwIHXEqYl7LNt5h/v/fZEXX3ZQ=""}","2022-02-19T23:00:01.000+0000","1:XzwIHXEqYl7LNt5h/v/fZEXX3ZQ=",SF,"0.6314480304718018",,ShADadGGGGFfR,sensor,"172.16.50.101",63848,"52.219.143.50",443,zeek,1,true,false,13643266,,,26265846,12994552,9299,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",7663,96275,2215,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311459.533387",Carw9u2ydI8uHe7Csj,CuY8J11lBPPTNbnZF9
"{""ts"":1645311459.556495,""uid"":""CK2Ygq2L1O4e9LxCq5"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63850,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":0.32498598098754885,""orig_bytes"":10506747,""resp_bytes"":6631,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":7013558,""history"":""ShADadgGGGFfR"",""orig_pkts"":2585,""orig_ip_bytes"":3602283,""resp_pkts"":187,""resp_ip_bytes"":8441,""tunnel_parents"":[""CiGAi125fn8W5XXRHf""],""community_id"":""1:JuIZdsnJUSDWdWFAer3GmYxhz2I=""}","2022-02-19T23:00:01.000+0000","1:JuIZdsnJUSDWdWFAer3GmYxhz2I=",SF,"0.32498598098754885",,ShADadgGGGFfR,sensor,"172.16.50.101",63850,"52.219.143.50",443,zeek,1,true,false,7013558,,,10506747,3602283,2585,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",6631,8441,187,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311459.556495",CiGAi125fn8W5XXRHf,CK2Ygq2L1O4e9LxCq5
"{""ts"":1645311459.554189,""uid"":""C7iVKf345Y6n4N4fy7"",""id.orig_h"":""172.16.50.101"",""id.orig_p"":63849,""id.resp_h"":""52.219.143.50"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":0.1081840991973877,""orig_bytes"":5253715,""resp_bytes"":6287,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":4799736,""history"":""ShADadGGGFfR"",""orig_pkts"":340,""orig_ip_bytes"":467591,""resp_pkts"":538,""resp_ip_bytes"":27819,""tunnel_parents"":[""CphhE34qeZoHRCpmRj""],""community_id"":""1:H/Fb2afHLELFhJJo1kNSNbaSwPY=""}","2022-02-19T23:00:01.000+0000","1:H/Fb2afHLELFhJJo1kNSNbaSwPY=",SF,"0.1081840991973877",,ShADadGGGFfR,sensor,"172.16.50.101",63849,"52.219.143.50",443,zeek,1,true,false,4799736,,,5253715,467591,340,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",6287,27819,538,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311459.554189",CphhE34qeZoHRCpmRj,C7iVKf345Y6n4N4fy7
"{""ts"":1645311383.673852,""uid"":""C4MeEJ2nBwmdp1wWt2"",""id.orig_h"":""172.16.50.100"",""id.orig_p"":56114,""id.resp_h"":""18.188.230.95"",""id.resp_p"":443,""proto"":""tcp"",""service"":""ssl"",""duration"":65.00223708152771,""orig_bytes"":2006,""resp_bytes"":1216,""conn_state"":""SF"",""local_orig"":true,""local_resp"":false,""missed_bytes"":0,""history"":""ShADadfFr"",""orig_pkts"":11,""orig_ip_bytes"":2458,""resp_pkts"":14,""resp_ip_bytes"":1788,""tunnel_parents"":[""CiMRGN2aW1LNzkt2uf""],""community_id"":""1:Zq+A1YVzRvQFau0QpP3FrAFv3Ik=""}","2022-02-19T23:00:01.000+0000","1:Zq+A1YVzRvQFau0QpP3FrAFv3Ik=",SF,"65.00223708152771",,ShADadfFr,sensor,"172.16.50.100",56114,"18.188.230.95",443,zeek,1,true,false,0,,,2006,2458,11,,tcp,"{"""":.,"""":"""",""."":""..."",""."":,""."":""..."",""."":,"""":"""",""""",1216,1788,14,ssl,"/opt/zeek/logs/2022-02-19/conn.22:00:00-23:00:00.log","zeek_conn","splunk.hackinglab.local",,none,"1645311383.673852",CiMRGN2aW1LNzkt2uf,C4MeEJ2nBwmdp1wWt2
